preseason_rank,player_name,season,past_season,player_age,team,team_qb,team_qb_season,team_qb_age,teammate,teammate_season,teammate_age
1,Christian McCaffrey,2021,2020,25,CAR,Sam Darnold,2020,24,Royce Freeman,2020,25
2,Dalvin Cook,2021,2020,26,MIN,Kirk Cousins,2020,33,Alexander Mattison,2020,22
3,Alvin Kamara,2021,2020,26,NO,Jameis Winston,2020,27,Tony Jones,2020,24
4,Derrick Henry,2021,2020,27,TEN,Ryan Tannehill,2020,33,D'Onta Foreman,2020,25
5,Ezekiel Elliott,2021,2020,26,DAL,Dak Prescott,2020,28,Tony Pollard,2020,24
6,Aaron Jones Sr.,2021,2020,27,GB,Aaron Rodgers,2020,37,AJ Dillon,2020,23
7,Austin Ekeler,2021,2020,26,LAC,Justin Herbert,2020,23,Justin Jackson,2020,25
8,Nick Chubb,2021,2020,25,CLE,Baker Mayfield,2020,26,Kareem Hunt,2020,26
9,Saquon Barkley,2021,2020,24,NYG,Daniel Jones,2020,24,Devontae Booker,2020,29
10,Jonathan Taylor,2021,2020,22,IND,Carson Wentz,2020,28,Nyheim Hines,2020,24
11,Antonio Gibson,2021,2020,23,WAS,Taylor Heinicke,2020,28,J.D. McKissic,2020,29
12,Joe Mixon,2021,2020,25,CIN,Joe Burrow,2020,24,Samaje Perine,2020,26
13,Clyde Edwards-Helaire,2021,2020,22,KC,Patrick Mahomes,2020,25,Darrel Williams,2020,26
14,David Montgomery,2021,2020,24,CHI,Andy Dalton,2020,34,Damien Williams,2020,28
15,Chris Carson,2021,2020,26,SEA,Russell Wilson,2020,32,Rashaad Penny,2020,25
16,James Robinson,2021,2020,23,JAX,C.J. Beathard,2020,28,Carlos Hyde,2020,30
17,D'Andre Swift,2021,2020,22,DET,Jared Goff,2020,26,Jamaal Williams,2020,26
18,Josh Jacobs,2021,2020,23,LV,Derek Carr,2020,30,Kenyan Drake,2020,27
19,Miles Sanders,2021,2020,24,PHI,Jalen Hurts,2020,23,Boston Scott,2020,25
20,Mike Davis,2021,2020,28,ATL,Matt Ryan,2020,36,Cordarrelle Patterson,2020,30
21,Darrell Henderson Jr.,2021,2020,24,LAR,Matthew Stafford,2020,33,Sony Michel,2020,26
22,Myles Gaskin,2021,2020,25,MIA,Tua Tagovailoa,2020,23,Malcolm Brown,2020,27
23,Kareem Hunt,2021,2020,26,CLE,Baker Mayfield,2020,26,Nick Chubb,2020,25
24,Damien Harris,2021,2020,24,NE,Brian Hoyer,2020,35,James White,2020,29
25,Gus Edwards,2021,2020,26,BAL,Lamar Jackson,2020,24,Latavius Murray,2020,31
26,Chase Edmonds,2021,2020,25,ARI,Kyler Murray,2020,24,James Conner,2020,26
27,Raheem Mostert,2021,2020,29,SF,Jimmy Garoppolo,2020,29,Elijah Mitchell,2020,24
28,Melvin Gordon III,2021,2020,28,DEN,Teddy Bridgewater,2020,28,Royce Freeman,2020,25
29,Ronald Jones,2021,2020,24,TB,Tom Brady,2020,44,Leonard Fournette,2020,26
30,Zack Moss,2021,2020,23,BUF,Josh Allen,2020,25,Devin Singletary,2020,24
31,Leonard Fournette,2021,2020,26,TB,Tom Brady,2020,44,Ronald Jones,2020,24
32,Jamaal Williams,2021,2020,26,DET,Jared Goff,2020,26,D'Andre Swift,2020,22
33,Sony Michel,2021,2020,26,LAR,Matthew Stafford,2020,33,Darrell Henderson Jr.,2020,24
34,James Conner,2021,2020,26,ARI,Kyler Murray,2020,24,Chase Edmonds,2020,25
35,Tony Pollard,2021,2020,24,DAL,Dak Prescott,2020,28,Ezekiel Elliott,2020,26
36,Kenyan Drake,2021,2020,27,LV,Derek Carr,2020,30,Josh Jacobs,2020,23
37,Phillip Lindsay,2021,2020,27,HOU,Tyrod Taylor,2020,32,David Johnson,2020,29
38,David Johnson,2021,2020,29,HOU,Tyrod Taylor,2020,32,Phillip Lindsay,2020,27
39,Nyheim Hines,2021,2020,24,IND,Carson Wentz,2020,28,Jonathan Taylor,2020,22
40,Giovani Bernard,2021,2020,29,TB,Tom Brady,2020,44,Ronald Jones,2020,24
41,James White,2021,2020,29,NE,Brian Hoyer,2020,35,Damien Harris,2020,24
42,Latavius Murray,2021,2020,31,BAL,Lamar Jackson,2020,24,Gus Edwards,2020,26
43,Rashaad Penny,2021,2020,25,SEA,Russell Wilson,2020,32,Chris Carson,2020,26
44,Tevin Coleman,2021,2020,28,NYJ,Josh Johnson,2020,34,Ty Johnson,2020,24
45,Damien Williams,2021,2020,28,CHI,Andy Dalton,2020,34,David Montgomery,2020,24
46,Darrel Williams,2021,2020,26,KC,Patrick Mahomes,2020,25,Clyde Edwards-Helaire,2020,22
47,Mark Ingram II,2021,2020,31,HOU,Tyrod Taylor,2020,32,Phillip Lindsay,2020,27
48,Justin Jackson,2021,2020,25,LAC,Justin Herbert,2020,23,Austin Ekeler,2020,26
49,Devontae Booker,2021,2020,29,NYG,Daniel Jones,2020,24,Saquon Barkley,2020,24
50,Tony Jones,2021,2020,24,NO,Jameis Winston,2020,27,Alvin Kamara,2020,26
51,Marlon Mack,2021,2020,25,IND,Carson Wentz,2020,28,Jonathan Taylor,2020,22
52,Jerick McKinnon,2021,2020,29,KC,Patrick Mahomes,2020,25,Clyde Edwards-Helaire,2020,22
53,Malcolm Brown,2021,2020,27,MIA,Tua Tagovailoa,2020,23,Myles Gaskin,2020,25
54,Carlos Hyde,2021,2020,30,JAX,C.J. Beathard,2020,28,James Robinson,2020,23
1,Jonathan Taylor,2022,2021,23,IND,Matt Ryan,2021,37,Nyheim Hines,2021,25
2,Christian McCaffrey,2022,2021,26,SF,Jimmy Garoppolo,2021,30,Elijah Mitchell,2021,24
3,Austin Ekeler,2022,2021,27,LAC,Justin Herbert,2021,24,Sony Michel,2021,27
4,Derrick Henry,2022,2021,28,TEN,Ryan Tannehill,2021,34,D'Onta Foreman,2021,26
5,Najee Harris,2022,2021,24,PIT,Mitchell Trubisky,2021,28,Benny Snell Jr.,2021,24
6,Dalvin Cook,2022,2021,27,MIN,Kirk Cousins,2021,34,Alexander Mattison,2021,24
