preseason_rank,player_name,season,past_season,player_age,team,team_qb,team_qb_season,team_qb_age,teammate,teammate_season,teammate_age
1,Davante Adams,2021,2020,28,GB,Aaron Rodgers,2020,37,Allen Lazard,2020,26
2,Tyreek Hill,2021,2020,27,KC,Patrick Mahomes,2020,25,Mecole Hardman,2020,23
3,Stefon Diggs,2021,2020,27,BUF,Josh Allen,2020,25,Gabe Davis,2020,22
4,DeAndre Hopkins,2021,2020,29,ARI,Kyler Murray,2020,24,A.J. Green,2020,33
5,Calvin Ridley,2021,2020,26,ATL,Matt Ryan,2020,36,Russell Gage,2020,25
6,DK Metcalf,2021,2020,23,SEA,Russell Wilson,2020,32,Tyler Lockett,2020,28
7,Justin Jefferson,2021,2020,22,MIN,Kirk Cousins,2020,33,Adam Thielen,2020,31
8,A.J. Brown,2021,2020,24,TEN,Ryan Tannehill,2020,33,Julio Jones,2020,32
9,Keenan Allen,2021,2020,29,LAC,Justin Herbert,2020,23,Mike Williams,2020,26
10,CeeDee Lamb,2021,2020,22,DAL,Dak Prescott,2020,28,Amari Cooper,2020,27
11,Terry McLaurin,2021,2020,24,WAS,Taylor Heinicke,2020,28,Curtis Samuel,2020,25
12,Allen Robinson II,2021,2020,27,CHI,Andy Dalton,2020,32,Darnell Mooney,2020,22
13,Robert Woods,2021,2020,28,LAR,Matthew Stafford,2020,33,Cooper Kupp,2020,28
14,Mike Evans,2021,2020,28,TB,Tom Brady,2020,44,Chris Godwin,2020,25
15,Amari Cooper,2021,2020,27,DAL,Dak Prescott,2020,28,CeeDee Lamb,2020,22
16,Cooper Kupp,2021,2020,28,LAR,Matthew Stafford,2020,33,Robert Woods,2020,28
17,Diontae Johnson,2021,2020,24,PIT,Ben Roethlisberger,2020,39,Chase Claypool,2020,22
18,Julio Jones,2021,2020,32,TEN,Ryan Tannehill,2020,33,A.J. Brown,2020,24
19,Chris Godwin,2021,2020,25,TB,Tom Brady,2020,44,Mike Evans,2020,28
20,Tyler Lockett,2021,2020,28,SEA,Russell Wilson,2020,32,DK Metcalf,2020,23
21,Adam Thielen,2021,2020,31,MIN,Kirk Cousins,2020,33,Justin Jefferson,2020,22
22,Brandon Aiyuk,2021,2020,22,SF,Jimmy Garoppolo,2020,29,Deebo Samuel,2020,25
23,DJ Moore,2021,2020,23,CAR,Sam Darnold,2020,24,Robbie Chosen,2020,27
24,Chase Claypool,2021,2020,22,PIT,Ben Roethlisberger,2020,39,Diontae Johnson,2020,24
25,Tee Higgins,2021,2020,22,CIN,Joe Burrow,2020,24,Tyler Boyd,2020,26
26,Jerry Jeudy,2021,2020,23,DEN,Teddy Bridgewater,2020,28,Courtland Sutton,2020,24
27,Odell Beckham Jr.,2021,2020,28,CLE,Baker Mayfield,2020,26,Jarvis Landry,2020,28
28,Michael Thomas,2021,2020,28,NO,Jameis Winston,2020,27,Marquez Callaway,2020,22
29,Robbie Chosen,2021,2020,27,CAR,Sam Darnold,2020,24,DJ Moore,2020,23
30,Ja'Marr Chase,2021,2020,21,CIN,Joe Burrow,2020,24,Tee Higgins,2020,22
31,JuJu Smith-Schuster,2021,2020,24,PIT,Ben Roethlisberger,2020,39,Diontae Johnson,2020,24
32,Kenny Golladay,2021,2020,27,NYG,Daniel Jones,2020,24,Sterling Shepard,2020,28
33,Courtland Sutton,2021,2020,24,DEN,Teddy Bridgewater,2020,28,Jerry Jeudy,2020,23
34,Laviska Shenault Jr.,2021,2020,21,JAX,C.J. Beathard,2020,28,DJ Chark,2020,25
35,Corey Davis,2021,2020,25,NYJ,Joe Flacco,2020,35,Jamison Crowder,2020,28
36,Deebo Samuel,2021,2020,25,SF,Jimmy Garoppolo,2020,29,Brandon Aiyuk,2020,22
37,Marquez Callaway,2021,2020,22,NO,Jameis Winston,2020,27,Tre'Quan Smith,2020,25
38,Tyler Boyd,2021,2020,25,CIN,Joe Burrow,2020,24,Tee Higgins,2020,22
39,Jaylen Waddle,2021,2020,20,MIA,Tua Tagovailoa,2020,23,DeVante Parker,2020,24
40,Mecole Hardman,2021,2020,23,KC,Patrick Mahomes,2020,25,Tyreek Hill,2020,27
41,Brandin Cooks,2021,2020,27,HOU,Tyrod Taylor,2020,32,Chris Conley,2020,28
42,Michael Pittman Jr.,2021,2020,23,IND,Carson Wentz,2020,28,T.Y. Hilton,2020,31
43,Darnell Mooney,2021,2020,22,CHI,Andy Dalton,2020,32,Allen Robinson II,2020,27
44,DJ Chark,2021,2020,25,JAX,C.J. Beathard,2020,28,Laviska Shenault Jr.,2020,21
45,Jakobi Meyers,2021,2020,25,NE,Brian Hoyer,2020,35,Nelson Agholor,2020,27
46,Mike Williams,2021,2020,26,LAC,Justin Herbert,2020,23,Keenan Allen,2020,29
47,Jarvis Landry,2021,2020,28,CLE,Baker Mayfield,2020,26,Odell Beckham Jr.,2020,28
