Name,Mean,5th Percentile,95th Percentile,Position
Puka Nacua,20.06356985377665,18.08672668789484,21.92435232608672,WR
Ja'Marr Chase,18.686045042103725,17.056037236435802,20.296347489724777,WR
Christian McCaffrey,18.118899938468616,15.935197367143198,20.266903978139087,RB
Amon-Ra St. Brown,17.689165639524425,16.11784670916799,19.266984337814964,WR
Bijan Robinson,17.578895345513555,15.146389183469124,19.82087453044568,RB
Jaxon Smith-Njigba,16.98714114756015,15.215388052074385,18.775254987316465,WR
Jahmyr Gibbs,16.743154683485578,14.91917070421452,18.51287789715724,RB
George Pickens,16.349181758902844,14.935557072114856,17.780523025342195,WR
Jonathan Taylor,15.730944932957884,13.784407604091452,17.7769767294415,RB
De'Von Achane,15.576741087553897,13.62147129158483,17.640495826824797,RB
Drake London,15.46490816854478,13.774835679723926,17.21960182298139,WR
James Cook,15.44043511693021,13.343666101746749,17.393111396622892,RB
Chase Brown,15.21531869246623,13.143722361443748,17.19726482922596,RB
Chris Olave,15.146897722824283,13.674587436203954,16.577462246526462,WR
Omarion Hampton,14.54927864740681,12.754664514389017,16.313767740571677,RB
Michael Wilson,14.206146354244916,12.874144573323129,15.442974195363504,WR
CeeDee Lamb,14.12152578735414,12.734210215014178,15.622776528897903,WR
Cam Skattebo,14.04759980198024,11.75449896833884,16.31864001229028,RB
A.J. Brown,13.998561192652437,12.611109164358188,15.268690082159711,WR
Zay Flowers,13.94303205998926,12.388980397316947,15.49766311800235,WR
Kyren Williams,13.92550037251289,12.341107062328486,15.685752310090708,RB
Rashee Rice,13.903624225757484,11.53766128717812,16.238728997600866,WR
Nico Collins,13.89056210905805,12.236826519601934,15.456308517983222,WR
Jameson Williams,13.859803312671971,12.437238939073405,15.403499300976344,WR
Justin Jefferson,13.82786267635549,12.17611122496904,15.49029229603144,WR
Wan'Dale Robinson,13.771771747546303,11.920526147486008,15.573124290847746,WR
Tetairoa McMillan,13.743442451634476,12.210245191292028,15.194913813284115,WR
Emeka Egbuka,13.534997999043124,11.926670033048586,14.932476313166092,WR
Bucky Irving,13.47591230899638,10.664186475154745,15.964821947673803,RB
Javonte Williams,13.430482852950394,11.32787394690713,15.42381900517033,RB
Ashton Jeanty,13.227346435822298,11.017717493113892,15.402230192356283,RB
Josh Jacobs,13.187638493499565,11.6632399657057,14.677942588942276,RB
Courtland Sutton,13.15488925709528,11.714143496217831,14.6764264225208,WR
Jaylen Waddle,13.107015358233422,11.719414653540907,14.528103879214138,WR
DK Metcalf,13.035035267565767,11.652911415636828,14.3104918883695,WR
Davante Adams,13.025310279170023,11.175018298911953,14.737739723121194,WR
Tee Higgins,12.91141912270351,11.193726666551209,14.51801840081598,WR
Travis Etienne,12.863305109906891,10.392746485217394,15.448456061589416,RB
Saquon Barkley,12.736272372146477,11.087287973181002,14.31759207249032,RB
Breece Hall,12.697414613085476,10.60798357624349,14.778513814141611,RB
Carnell Tate,12.688587792614824,2.0766135185596606,26.78143084191956,WR
Michael Pittman,12.64264764745552,10.977130991139363,14.111079445231963,WR
Quentin Johnston,12.448339428116856,11.102356661132536,13.804469483801483,WR
