preseason_rank,player_name,season,past_season,player_age,team,team_qb,team_qb_season,team_qb_age,teammate,teammate_season,teammate_age,player_display_name,fantasy_points_ppr_pg,Previous_player_display_name,Previous_season,Previous_carries_pg,Previous_rushing_yards_pg,Previous_rushing_tds_pg,Previous_rushing_fumbles_pg,Previous_rushing_fumbles_lost_pg,Previous_rushing_first_downs_pg,Previous_rushing_2pt_conversions_pg,Previous_rushing_10_pg,Previous_rushing_12_pg,Previous_rushing_20_pg,Previous_rushing_40_pg,Previous_rushing_epa_pg,Previous_receptions_pg,Previous_targets_pg,Previous_receiving_yards_pg,Previous_receiving_tds_pg,Previous_receiving_fumbles_pg,Previous_receiving_fumbles_lost_pg,Previous_receiving_air_yards_pg,Previous_receiving_yards_after_catch_pg,Previous_receiving_first_downs_pg,Previous_receiving_2pt_conversions_pg,Previous_receiving_10_pg,Previous_receiving_16_pg,Previous_receiving_20_pg,Previous_receiving_40_pg,Previous_air_yards_share_pg,Previous_wopr_pg,Previous_special_teams_tds_pg,Previous_punt_returns_pg,Previous_punt_return_yards_pg,Previous_kickoff_returns_pg,Previous_kickoff_return_yards_pg,Previous_fantasy_points_ppr_pg,Previous_games_played,QB_player_display_name,QB_season,QB_completions_pg,QB_attempts_pg,QB_passing_yards_pg,QB_passing_tds_pg,QB_passing_interceptions_pg,QB_sacks_suffered_pg,QB_sack_yards_lost_pg,QB_sack_fumbles_pg,QB_sack_fumbles_lost_pg,QB_passing_air_yards_pg,QB_passing_yards_after_catch_pg,QB_passing_first_downs_pg,QB_passing_2pt_conversions_pg,QB_passing_10_pg,QB_passing_16_pg,QB_passing_20_pg,QB_passing_40_pg,QB_passing_epa_pg,QB_passing_cpoe_pg,QB_fantasy_points_ppr_pg,QB_games_played,Teammate_player_display_name,Teammate_season,Teammate_carries_pg,Teammate_rushing_yards_pg,Teammate_rushing_tds_pg,Teammate_rushing_fumbles_pg,Teammate_rushing_fumbles_lost_pg,Teammate_rushing_first_downs_pg,Teammate_rushing_2pt_conversions_pg,Teammate_rushing_10_pg,Teammate_rushing_12_pg,Teammate_rushing_20_pg,Teammate_rushing_40_pg,Teammate_rushing_epa_pg,Teammate_receptions_pg,Teammate_targets_pg,Teammate_receiving_yards_pg,Teammate_receiving_tds_pg,Teammate_receiving_fumbles_pg,Teammate_receiving_fumbles_lost_pg,Teammate_receiving_air_yards_pg,Teammate_receiving_yards_after_catch_pg,Teammate_receiving_first_downs_pg,Teammate_receiving_2pt_conversions_pg,Teammate_receiving_10_pg,Teammate_receiving_16_pg,Teammate_receiving_20_pg,Teammate_receiving_40_pg,Teammate_air_yards_share_pg,Teammate_wopr_pg,Teammate_special_teams_tds_pg,Teammate_punt_returns_pg,Teammate_punt_return_yards_pg,Teammate_kickoff_returns_pg,Teammate_kickoff_return_yards_pg,Teammate_fantasy_points_ppr_pg,Teammate_games_played
1,Christian McCaffrey,2021,2020,25,CAR,Sam Darnold,2020,24,Royce Freeman,2020,25,Christian McCaffrey,18.214285714285715,Christian McCaffrey,2020.0,19.666666666666668,75.0,1.6666666666666667,0.0,0.0,4.666666666666667,0.0,1.3333333333333333,1.0,0.0,0.0,1.311210535051744,5.666666666666667,6.333333333333333,49.666666666666664,0.3333333333333333,0.0,0.0,9.0,41.0,2.6666666666666665,0.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.03204819736294838,0.2573936312021922,0.0,0.0,0.0,0.0,0.0,30.133333333333336,3.0,Sam Darnold,2020.0,18.083333333333332,30.333333333333332,184.0,0.75,0.9166666666666666,2.9166666666666665,-19.5,0.3333333333333333,0.16666666666666666,232.83333333333334,96.25,9.083333333333334,0.08333333333333333,7.25,3.8333333333333335,2.25,0.16666666666666666,-6.404762839687355,-1.8286930121390876,11.168333333333335,12.0,Royce Freeman,2020.0,3.1818181818181817,15.454545454545455,0.0,0.0,0.0,0.9090909090909091,0.0,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.0,-0.026375383615184263,1.0909090909090908,1.1818181818181819,7.363636363636363,0.0,0.0,0.0,2.0,5.7272727272727275,0.36363636363636365,0.0,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.0,0.005843733284510786,0.05394031352752975,0.0,0.0,0.0,0.0,0.0,3.372727272727273,11.0
2,Dalvin Cook,2021,2020,26,MIN,Kirk Cousins,2020,33,Alexander Mattison,2020,22,Dalvin Cook,15.86923076923077,Dalvin Cook,2020.0,22.285714285714285,111.21428571428571,1.1428571428571428,0.2857142857142857,0.14285714285714285,6.5,0.21428571428571427,3.2857142857142856,2.2857142857142856,0.42857142857142855,0.07142857142857142,1.1538510537266489,3.142857142857143,3.857142857142857,25.785714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,-6.857142857142857,31.285714285714285,1.2142857142857142,0.0,1.0,0.35714285714285715,0.2857142857142857,0.07142857142857142,-0.0582778171852601,0.15883816256851355,0.0,0.0,0.0,0.0,0.0,24.12857142857143,14.0,Kirk Cousins,2020.0,21.8125,32.25,266.5625,2.1875,0.8125,2.4375,-16.0,0.5,0.25,256.4375,121.0,13.25,0.3125,10.875,5.375,3.625,0.4375,5.875463930783387,4.26865398236962,19.1375,16.0,Alexander Mattison,2020.0,7.384615384615385,33.38461538461539,0.15384615384615385,0.0,0.0,1.8461538461538463,0.0,0.9230769230769231,0.7692307692307693,0.3076923076923077,0.0,-0.557274717011471,1.0,1.1538461538461537,9.615384615384615,0.07692307692307693,0.0,0.0,3.1538461538461537,8.307692307692308,0.38461538461538464,0.0,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.0,0.010563460647556368,0.06454758965222325,0.0,0.0,0.0,0.0,0.0,6.684615384615385,13.0
3,Alvin Kamara,2021,2020,26,NO,Jameis Winston,2020,27,Tony Jones,2020,24,Alvin Kamara,18.053846153846155,Alvin Kamara,2020.0,12.466666666666667,62.13333333333333,1.0666666666666667,0.06666666666666667,0.0,3.8666666666666667,0.0,1.8,1.0666666666666667,0.4666666666666667,0.13333333333333333,0.6016697177779861,5.533333333333333,7.133333333333334,50.4,0.3333333333333333,0.0,0.0,4.0,48.733333333333334,2.3333333333333335,0.0,1.9333333333333333,0.8666666666666667,0.6,0.13333333333333333,0.008835684045436061,0.33125432956373924,0.0,0.06666666666666667,0.0,0.13333333333333333,2.933333333333333,25.186666666666667,15.0,Jameis Winston,2020.0,2.3333333333333335,3.6666666666666665,25.0,0.0,0.0,0.6666666666666666,-3.6666666666666665,0.0,0.0,17.0,20.333333333333332,1.6666666666666667,0.0,1.6666666666666667,0.3333333333333333,0.0,0.0,0.400030557031932,10.963377207517624,0.7999999999999998,3.0,Tony Jones,2020.0,3.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4286583752837032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.0
4,Derrick Henry,2021,2020,27,TEN,Ryan Tannehill,2020,33,D'Onta Foreman,2020,25,Derrick Henry,24.1625,Derrick Henry,2020.0,23.625,126.6875,1.0625,0.1875,0.125,6.125,0.0625,3.0,2.375,1.0,0.25,2.109464994358279,1.1875,1.9375,7.125,0.0,0.0,0.0,-1.8125,7.9375,0.25,0.0,0.0625,0.0625,0.0625,0.0625,-0.011091296071776186,0.0923643587200397,0.0,0.0,0.0,0.0,0.0,20.81875,16.0,Ryan Tannehill,2020.0,19.6875,30.0625,238.6875,2.0625,0.4375,1.5,-10.8125,0.3125,0.0625,251.5,95.5625,12.625,0.0625,9.5625,4.6875,2.75,0.8125,7.8897766095924,1.977874450635738,21.5225,16.0,D'Onta Foreman,2020.0,4.4,19.0,0.0,0.0,0.0,1.2,0.0,0.6,0.4,0.0,0.0,-0.5307237906847149,0.2,0.2,1.0,0.2,0.0,0.0,0.4,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.002030456852791878,0.012532430908065426,0.0,0.0,0.0,0.0,0.0,3.4,5.0
5,Ezekiel Elliott,2021,2020,26,DAL,Dak Prescott,2020,28,Tony Pollard,2020,24,Ezekiel Elliott,14.827058823529413,Ezekiel Elliott,2020.0,16.266666666666666,65.26666666666667,0.4,0.3333333333333333,0.26666666666666666,4.133333333333334,0.0,1.4666666666666666,0.8666666666666667,0.2,0.0,-1.9204343988251749,3.466666666666667,4.733333333333333,22.533333333333335,0.13333333333333333,0.06666666666666667,0.06666666666666667,-1.1333333333333333,24.0,1.3333333333333333,0.06666666666666667,0.9333333333333333,0.2,0.0,0.0,-0.0005479296908898807,0.17161237016655717,0.0,0.0,0.0,0.0,0.0,14.913333333333334,15.0,Dak Prescott,2020.0,30.2,44.4,371.2,1.8,0.8,2.0,-13.2,0.6,0.6,352.4,162.0,18.6,0.2,16.6,7.4,5.0,1.2,6.424759121922004,-0.47659585076069677,27.128000000000004,5.0,Tony Pollard,2020.0,6.3125,27.1875,0.25,0.0,0.0,1.4375,0.0,0.625,0.625,0.25,0.125,-0.16921274925892552,1.75,2.5,12.0625,0.0625,0.0,0.0,-0.875,14.5,0.5625,0.0,0.5,0.1875,0.0625,0.0,-0.0025957411675166073,0.10227757177045779,0.0,0.0,0.0,2.0,47.875,7.550000000000001,16.0
6,Aaron Jones,2021,2020,27,GB,Aaron Rodgers,2020,37,AJ Dillon,2020,23,Aaron Jones,15.266666666666667,Aaron Jones,2020.0,14.357142857142858,78.85714285714286,0.6428571428571429,0.07142857142857142,0.0,3.7142857142857144,0.0,1.8571428571428572,1.2142857142857142,0.42857142857142855,0.2857142857142857,0.9634864452663044,3.357142857142857,4.5,25.357142857142858,0.14285714285714285,0.07142857142857142,0.0,5.5,26.071428571428573,1.0714285714285714,0.0,0.8571428571428571,0.35714285714285715,0.2857142857142857,0.0,0.014293373599541023,0.23163965061791947,0.0,0.0,0.0,0.0,0.0,18.492857142857144,14.0,Aaron Rodgers,2020.0,23.25,32.875,268.6875,3.0,0.3125,1.25,-11.375,0.0625,0.0625,258.4375,140.5,13.5,0.0,9.75,4.8125,3.5625,0.875,11.64074050332398,7.3534423372058155,23.95375,16.0,AJ Dillon,2020.0,5.111111111111111,26.88888888888889,0.2222222222222222,0.0,0.0,1.2222222222222223,0.0,0.5555555555555556,0.5555555555555556,0.2222222222222222,0.0,1.0855656485073268,0.2222222222222222,0.2222222222222222,2.3333333333333335,0.0,0.0,0.0,0.5555555555555556,1.7777777777777777,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.002829546898711939,0.013311092185823502,0.0,0.0,0.0,0.0,0.0,4.477777777777778,9.0
7,Austin Ekeler,2021,2020,26,LAC,Justin Herbert,2020,23,Justin Jackson,2020,25,Austin Ekeler,21.4875,Austin Ekeler,2020.0,11.6,53.0,0.1,0.1,0.0,2.6,0.0,1.5,1.1,0.2,0.0,-0.9872815974796051,5.4,6.5,40.3,0.2,0.0,0.0,-7.8,47.3,2.0,0.0,1.6,0.4,0.2,0.0,-0.026522288946686096,0.21807035533955518,0.0,0.0,0.0,0.0,0.0,16.53,10.0,Justin Herbert,2020.0,26.4,39.666666666666664,289.06666666666666,2.066666666666667,0.6666666666666666,2.1333333333333333,-14.533333333333333,0.2,0.06666666666666667,291.2,148.0,14.4,0.13333333333333333,11.4,5.333333333333333,3.4,0.6666666666666666,6.0449491253441066,1.02852682648861,22.189333333333334,15.0,Justin Jackson,2020.0,7.375,33.75,0.0,0.0,0.0,1.875,0.0,0.875,0.625,0.375,0.0,-0.3261497437415528,2.375,3.0,21.625,0.0,0.0,0.0,-5.875,27.625,0.875,0.125,0.625,0.25,0.25,0.0,-0.021222556380153437,0.10969169430012635,0.0,0.0,0.0,0.0,0.0,8.1625,8.0
8,Nick Chubb,2021,2020,25,CLE,Baker Mayfield,2020,26,Kareem Hunt,2020,26,Nick Chubb,15.37857142857143,Nick Chubb,2020.0,15.833333333333334,88.91666666666667,1.0,0.08333333333333333,0.08333333333333333,4.583333333333333,0.0,2.8333333333333335,1.8333333333333333,1.0,0.25,1.4123312303757605,1.3333333333333333,1.5,12.5,0.0,0.0,0.0,4.083333333333333,11.083333333333334,0.5,0.0,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.0,0.015602475195555507,0.08182429042267032,0.0,0.0,0.0,0.0,0.0,17.308333333333334,12.0,Baker Mayfield,2020.0,19.0625,30.375,222.6875,1.625,0.5,1.625,-10.125,0.25,0.1875,258.4375,85.0625,11.75,0.0625,10.0,4.5625,2.6875,0.3125,5.550071337958819,3.5413603965507163,15.53875,16.0,Kareem Hunt,2020.0,12.375,52.5625,0.375,0.0625,0.0,2.75,0.0,1.8125,0.875,0.1875,0.0,-1.0359953313427592,2.375,3.1875,19.0,0.3125,0.0625,0.0,4.4375,17.5,1.1875,0.0,0.8125,0.25,0.1875,0.0,0.016126430058855404,0.172350402179169,0.0,0.0,0.0,0.0,0.0,13.65625,16.0
9,Saquon Barkley,2021,2020,24,NYG,Daniel Jones,2020,24,Devontae Booker,2020,29,Saquon Barkley,11.430769230769231,Saquon Barkley,2020.0,9.5,17.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,-4.0875370574358385,3.0,4.5,30.0,0.0,0.0,0.0,17.0,27.5,1.5,0.0,0.5,0.5,0.5,0.0,0.07327586206896551,0.22437002652519894,0.0,0.0,0.0,0.0,0.0,7.700000000000001,2.0,Daniel Jones,2020.0,20.0,32.0,210.21428571428572,0.7857142857142857,0.7142857142857143,3.2142857142857144,-20.428571428571427,0.5714285714285714,0.2857142857142857,243.0,79.57142857142857,11.285714285714286,0.07142857142857142,9.214285714285714,3.7857142857142856,2.2142857142857144,0.35714285714285715,-1.737263453945985,-2.070031542912394,12.858571428571429,14.0,Devontae Booker,2020.0,6.2,28.2,0.2,0.06666666666666667,0.0,1.4,0.0,0.5333333333333333,0.4666666666666667,0.26666666666666666,0.06666666666666667,0.19516360280880082,1.1333333333333333,1.4,5.6,0.0,0.0,0.0,0.4666666666666667,5.4,0.13333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.001960029915387809,0.06484000031689259,0.0,0.0,0.0,0.06666666666666667,0.26666666666666666,5.713333333333334,15.0
10,Jonathan Taylor,2021,2020,22,IND,Carson Wentz,2020,28,Nyheim Hines,2020,24,Jonathan Taylor,21.947058823529414,Jonathan Taylor,2020.0,15.466666666666667,77.93333333333334,0.7333333333333333,0.06666666666666667,0.06666666666666667,4.6,0.0,2.3333333333333335,1.8666666666666667,0.4666666666666667,0.2,0.9973944850249752,2.4,2.6,19.933333333333334,0.06666666666666667,0.0,0.0,-2.933333333333333,24.133333333333333,0.8,0.0,0.6666666666666666,0.4,0.3333333333333333,0.0,-0.009551976365190003,0.1097845889266962,0.0,0.0,0.0,0.0,0.0,16.853333333333335,15.0,Carson Wentz,2020.0,20.916666666666668,36.416666666666664,218.33333333333334,1.3333333333333333,1.25,4.166666666666667,-27.166666666666668,0.5833333333333334,0.25,322.5833333333333,83.0,10.833333333333334,0.4166666666666667,8.583333333333334,4.25,2.25,0.5,-6.89002782219515,-4.090562111329097,16.533333333333335,12.0,Nyheim Hines,2020.0,5.5625,23.75,0.1875,0.0,0.0,1.5,0.0625,1.0625,0.6875,0.1875,0.0,-0.8161039778022948,3.9375,4.75,30.125,0.25,0.0,0.0,3.25,29.375,1.5,0.0,1.25,0.3125,0.125,0.0,0.011956408640570213,0.22011926903150847,0.0,1.875,18.75,0.1875,4.375,12.075,16.0
11,Antonio Gibson,2021,2020,23,WAS,Taylor Heinicke,2020,28,J.D. McKissic,2020,29,Antonio Gibson,14.318750000000001,Antonio Gibson,2020.0,12.142857142857142,56.785714285714285,0.7857142857142857,0.0,0.0,2.857142857142857,0.0,1.5,1.1428571428571428,0.35714285714285715,0.07142857142857142,0.3888430459420696,2.5714285714285716,3.142857142857143,17.642857142857142,0.0,0.14285714285714285,0.14285714285714285,-2.5714285714285716,21.5,0.6428571428571429,0.0,0.7142857142857143,0.35714285714285715,0.14285714285714285,0.07142857142857142,-0.01333834155025069,0.13250618190180316,0.0,0.0,0.0,0.0,0.0,14.442857142857141,14.0,Taylor Heinicke,2020.0,12.0,19.0,137.0,1.0,0.0,1.0,-7.0,0.0,0.0,255.0,49.0,6.0,0.0,4.0,3.0,2.0,0.0,2.3747805972525384,1.5776561279045909,11.68,1.0,J.D. McKissic,2020.0,5.3125,22.8125,0.0625,0.0625,0.0,1.5625,0.0,0.8125,0.375,0.0,0.0,-0.3887167333059386,5.0,6.875,36.8125,0.125,0.125,0.0625,11.625,31.4375,2.0,0.0,1.3125,0.1875,0.125,0.0,0.030652315218125357,0.2961905523497254,0.0,0.0,0.0,0.0,0.0,11.9625,16.0
12,Joe Mixon,2021,2020,25,CIN,Joe Burrow,2020,24,Samaje Perine,2020,26,Joe Mixon,17.99375,Joe Mixon,2020.0,19.833333333333332,71.33333333333333,0.5,0.16666666666666666,0.16666666666666666,3.3333333333333335,0.0,1.0,0.6666666666666666,0.5,0.0,-3.5453999814932082,3.5,4.333333333333333,23.0,0.16666666666666666,0.0,0.0,-4.833333333333333,28.5,0.8333333333333334,0.0,0.8333333333333334,0.3333333333333333,0.0,0.0,-0.01527441160123171,0.1694533508936592,0.0,0.0,0.0,0.0,0.0,16.6,6.0,Joe Burrow,2020.0,26.4,40.4,268.8,1.3,0.5,3.2,-23.1,0.4,0.3,342.9,114.2,15.0,0.0,12.0,4.6,2.3,0.3,4.896672468471529,1.8986409949118876,17.372,10.0,Samaje Perine,2020.0,5.25,25.083333333333332,0.25,0.0,0.0,1.3333333333333333,0.0,0.75,0.6666666666666666,0.08333333333333333,0.08333333333333333,-0.10581203432846076,0.9166666666666666,1.0,5.5,0.0,0.0,0.0,-1.75,7.416666666666667,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,-0.006669818919515437,0.03489989339677437,0.0,0.0,0.0,0.08333333333333333,1.0833333333333333,5.4750000000000005,12.0
13,Clyde Edwards-Helaire,2021,2020,22,KC,Patrick Mahomes,2020,25,Darrel Williams,2020,26,Clyde Edwards-Helaire,11.76,Clyde Edwards-Helaire,2020.0,13.923076923076923,61.76923076923077,0.3076923076923077,0.0,0.0,3.0,0.0,1.6153846153846154,1.0769230769230769,0.23076923076923078,0.0,-0.7118028714151874,2.769230769230769,4.153846153846154,22.846153846153847,0.07692307692307693,0.0,0.0,2.5384615384615383,22.692307692307693,0.9230769230769231,0.0,0.9230769230769231,0.5384615384615384,0.23076923076923078,0.0,0.003701020824904362,0.17193396324970986,0.0,0.0,0.0,0.0,0.0,13.538461538461538,13.0,Patrick Mahomes,2020.0,26.0,39.2,316.0,2.533333333333333,0.4,1.4666666666666666,-9.8,0.2,0.13333333333333333,327.8,149.4,15.866666666666667,0.2,13.133333333333333,6.8,4.466666666666667,0.5333333333333333,12.401960266603338,3.1869983191817344,24.959999999999997,15.0,Darrel Williams,2020.0,3.0,13.0,0.07692307692307693,0.0,0.0,1.0769230769230769,0.0,0.46153846153846156,0.15384615384615385,0.0,0.0,0.2727175298450477,1.3846153846153846,2.0,8.923076923076923,0.0,0.0,0.0,-1.6923076923076923,12.0,0.46153846153846156,0.07692307692307693,0.38461538461538464,0.0,0.0,0.0,-0.007559261341034599,0.07118492323635167,0.0,0.0,0.0,0.0,0.0,4.1923076923076925,13.0
15,Chris Carson,2021,2020,26,SEA,Russell Wilson,2020,32,Rashaad Penny,2020,25,Chris Carson,12.025,Chris Carson,2020.0,11.75,56.75,0.4166666666666667,0.08333333333333333,0.0,3.5833333333333335,0.0,1.5833333333333333,0.6666666666666666,0.25,0.0,1.404150406060581,3.0833333333333335,3.8333333333333335,23.916666666666668,0.3333333333333333,0.0,0.0,5.083333333333333,21.416666666666668,1.1666666666666667,0.0,0.75,0.3333333333333333,0.16666666666666666,0.0,0.01043489683784656,0.1844518130852089,0.0,0.0,0.0,0.0,0.0,15.65,12.0,Russell Wilson,2020.0,24.0,34.875,263.25,2.5,0.8125,2.9375,-18.8125,0.125,0.125,300.5625,114.1875,13.3125,0.0625,10.0625,5.125,2.8125,0.6875,4.898597015801772,7.234341967292955,22.486250000000002,16.0,Rashaad Penny,2020.0,3.6666666666666665,11.333333333333334,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.5885292139525214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1333333333333335,3.0
16,James Robinson,2021,2020,23,JAX,C.J. Beathard,2020,28,Carlos Hyde,2020,30,James Robinson,12.421428571428573,James Robinson,2020.0,17.142857142857142,76.42857142857143,0.5,0.07142857142857142,0.0,3.857142857142857,0.07142857142857142,2.2142857142857144,1.3571428571428572,0.35714285714285715,0.07142857142857142,-0.8790793046573443,3.5,4.285714285714286,24.571428571428573,0.21428571428571427,0.07142857142857142,0.0,-3.5,27.357142857142858,1.0714285714285714,0.0,0.7857142857142857,0.35714285714285715,0.14285714285714285,0.0,-0.01314382356739983,0.17037902536339194,0.0,0.0,0.0,0.0,0.0,17.885714285714286,14.0,C.J. Beathard,2020.0,11.0,17.333333333333332,131.16666666666666,1.0,0.0,1.5,-11.833333333333334,0.5,0.5,141.83333333333334,57.333333333333336,7.0,0.0,5.666666666666667,2.6666666666666665,2.0,0.5,1.5363664057128934,-5.716372223758192,8.713333333333333,6.0,Carlos Hyde,2020.0,8.1,35.6,0.4,0.0,0.0,2.0,0.0,0.9,0.9,0.2,0.1,0.06652354206636409,1.6,2.0,9.3,0.0,0.1,0.0,4.7,10.8,0.4,0.0,0.3,0.1,0.0,0.0,0.027197781951521272,0.1126081983106775,0.0,0.0,0.0,0.0,0.0,8.49,10.0
