preseason_rank,player_name,season,past_season,player_age,team,team_qb,team_qb_season,team_qb_age,teammate,teammate_season,teammate_age,player_display_name,fantasy_points_ppr_pg,Previous_player_display_name,Previous_season,Previous_carries_pg,Previous_rushing_yards_pg,Previous_rushing_tds_pg,Previous_rushing_fumbles_pg,Previous_rushing_fumbles_lost_pg,Previous_rushing_first_downs_pg,Previous_rushing_2pt_conversions_pg,Previous_rushing_10_pg,Previous_rushing_12_pg,Previous_rushing_20_pg,Previous_rushing_40_pg,Previous_rushing_epa_pg,Previous_receptions_pg,Previous_targets_pg,Previous_receiving_yards_pg,Previous_receiving_tds_pg,Previous_receiving_fumbles_pg,Previous_receiving_fumbles_lost_pg,Previous_receiving_air_yards_pg,Previous_receiving_yards_after_catch_pg,Previous_receiving_first_downs_pg,Previous_receiving_2pt_conversions_pg,Previous_receiving_10_pg,Previous_receiving_16_pg,Previous_receiving_20_pg,Previous_receiving_40_pg,Previous_air_yards_share_pg,Previous_wopr_pg,Previous_special_teams_tds_pg,Previous_punt_returns_pg,Previous_punt_return_yards_pg,Previous_kickoff_returns_pg,Previous_kickoff_return_yards_pg,Previous_fantasy_points_ppr_pg,Previous_games_played,QB_player_display_name,QB_season,QB_completions_pg,QB_attempts_pg,QB_passing_yards_pg,QB_passing_tds_pg,QB_passing_interceptions_pg,QB_sacks_suffered_pg,QB_sack_yards_lost_pg,QB_sack_fumbles_pg,QB_sack_fumbles_lost_pg,QB_passing_air_yards_pg,QB_passing_yards_after_catch_pg,QB_passing_first_downs_pg,QB_passing_2pt_conversions_pg,QB_passing_10_pg,QB_passing_16_pg,QB_passing_20_pg,QB_passing_40_pg,QB_passing_epa_pg,QB_passing_cpoe_pg,QB_fantasy_points_ppr_pg,QB_games_played,Teammate_player_display_name,Teammate_season,Teammate_carries_pg,Teammate_rushing_yards_pg,Teammate_rushing_tds_pg,Teammate_rushing_fumbles_pg,Teammate_rushing_fumbles_lost_pg,Teammate_rushing_first_downs_pg,Teammate_rushing_2pt_conversions_pg,Teammate_rushing_10_pg,Teammate_rushing_12_pg,Teammate_rushing_20_pg,Teammate_rushing_40_pg,Teammate_rushing_epa_pg,Teammate_receptions_pg,Teammate_targets_pg,Teammate_receiving_yards_pg,Teammate_receiving_tds_pg,Teammate_receiving_fumbles_pg,Teammate_receiving_fumbles_lost_pg,Teammate_receiving_air_yards_pg,Teammate_receiving_yards_after_catch_pg,Teammate_receiving_first_downs_pg,Teammate_receiving_2pt_conversions_pg,Teammate_receiving_10_pg,Teammate_receiving_16_pg,Teammate_receiving_20_pg,Teammate_receiving_40_pg,Teammate_air_yards_share_pg,Teammate_wopr_pg,Teammate_special_teams_tds_pg,Teammate_punt_returns_pg,Teammate_punt_return_yards_pg,Teammate_kickoff_returns_pg,Teammate_kickoff_return_yards_pg,Teammate_fantasy_points_ppr_pg,Teammate_games_played
1,Davante Adams,2021,2020,28,GB,Aaron Rodgers,2020,37,Allen Lazard,2020,26,Davante Adams,21.51875,Davante Adams,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.214285714285714,10.642857142857142,98.14285714285714,1.2857142857142858,0.0714285714285714,0.0714285714285714,95.0,42.642857142857146,5.214285714285714,0.0,3.5,1.7857142857142858,1.2857142857142858,0.3571428571428571,0.3834158426630599,0.7784550315587312,0.0,0.0,0.0,0.0,0.0,25.6,14.0,Aaron Rodgers,2020,23.25,32.875,268.6875,3.0,0.3125,1.25,-11.375,0.0625,0.0625,258.4375,140.5,13.5,0.0,9.75,4.8125,3.5625,0.875,11.64074050332398,7.353442337205815,23.95375,16,Allen Lazard,2020,0.2,1.7,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.1975630515371449,3.3,4.6,45.1,0.3,0.0,0.0,45.8,19.5,2.3,0.0,1.5,0.6,0.6,0.2,0.1871317219884162,0.3641852052824753,0.0,0.0,0.0,0.0,0.0,9.78,10
2,Tyreek Hill,2021,2020,27,KC,Patrick Mahomes,2020,25,Mecole Hardman,2020,23,Tyreek Hill,17.441176470588236,Tyreek Hill,2020.0,0.8666666666666667,8.2,0.1333333333333333,0.0,0.0,0.3333333333333333,0.0,0.2666666666666666,0.2,0.2,0.0,0.8201063243452356,5.8,9.0,85.06666666666666,1.0,0.0,0.0,115.93333333333334,28.933333333333334,3.8,0.0,3.2666666666666666,1.8,1.3333333333333333,0.3333333333333333,0.3478475042519615,0.592705489558897,0.0,0.0666666666666666,0.0,0.0,0.0,21.92666666666667,15.0,Patrick Mahomes,2020,26.0,39.2,316.0,2.533333333333333,0.4,1.4666666666666666,-9.8,0.2,0.1333333333333333,327.8,149.4,15.866666666666667,0.2,13.133333333333333,6.8,4.466666666666667,0.5333333333333333,12.401960266603338,3.1869983191817344,24.96,15,Mecole Hardman,2020,0.25,1.9375,0.0,0.0,0.0,0.125,0.0,0.125,0.125,0.0625,0.0,0.1778593304188689,2.5625,3.875,35.0,0.25,0.0625,0.0625,41.25,17.8125,1.4375,0.0625,1.3125,0.75,0.4375,0.0625,0.1131781901507137,0.2258861086541629,0.0625,1.5625,11.0,0.5625,11.5,8.13125,16
3,Stefon Diggs,2021,2020,27,BUF,Josh Allen,2020,25,Gabe Davis,2020,22,Stefon Diggs,16.794117647058822,Stefon Diggs,2020.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7308593108318746,7.9375,10.375,95.9375,0.5,0.0,0.0,104.625,29.0,4.5625,0.0,3.875,2.0,1.25,0.3125,0.3391060891936946,0.6860558817798641,0.0,0.0,0.0,0.0,0.0,20.5375,16.0,Josh Allen,2020,24.75,35.75,284.0,2.3125,0.625,1.625,-9.9375,0.3125,0.125,303.5625,116.9375,14.25,0.0,11.625,5.625,3.875,0.5,10.556717703097329,6.462030823850695,24.75375,16,Gabe Davis,2020,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7427583343815058,2.1875,3.875,37.4375,0.4375,0.0625,0.0,59.0625,8.1875,1.6875,0.0,1.5625,0.75,0.625,0.1875,0.1993502267129455,0.3003580329170929,0.0,0.0,0.0,0.0,0.0,8.55625,16
4,DeAndre Hopkins,2021,2020,29,ARI,Kyler Murray,2020,24,A.J. Green,2020,33,DeAndre Hopkins,14.720000000000002,DeAndre Hopkins,2020.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9933590416330844,7.1875,10.0,87.9375,0.375,0.1875,0.125,89.5,32.4375,4.6875,0.0,3.5625,1.625,1.0625,0.375,0.3349150303263161,0.6771518724359872,0.0,0.0,0.0,0.0,0.0,17.9875,16.0,Kyler Murray,2020,23.4375,34.875,248.1875,1.625,0.75,1.6875,-11.0,0.25,0.25,272.1875,108.9375,12.8125,0.0,8.875,4.0625,2.75,0.875,1.994362095689563,1.8490767200377929,23.67125,16,A.J. Green,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9375,6.5,32.6875,0.125,0.0,0.0,89.1875,5.375,2.125,0.0,1.8125,0.5625,0.1875,0.0,0.2942938504796299,0.4762537472964399,0.0,0.0,0.0,0.0,0.0,6.956250000000001,16
5,Calvin Ridley,2021,2020,26,ATL,Matt Ryan,2020,36,Russell Gage,2020,25,Calvin Ridley,14.220000000000002,Calvin Ridley,2020.0,0.3333333333333333,0.0666666666666666,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,-0.5555941124097444,6.0,9.533333333333331,91.6,0.6,0.0666666666666666,0.0666666666666666,136.8,18.33333333333333,4.333333333333333,0.0666666666666666,3.8666666666666663,2.466666666666667,1.5333333333333334,0.2,0.3999738231605312,0.6564185841985889,0.0,0.0,0.0,0.0,0.0,18.766666666666666,15.0,Matt Ryan,2020,25.4375,39.125,286.3125,1.625,0.6875,2.5625,-16.0625,0.25,0.125,333.875,102.625,15.125,0.0625,11.9375,6.3125,3.625,0.5,4.223118300765876,1.105596004502188,17.6525,16,Russell Gage,2020,0.125,0.5625,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0,-0.0951993410999421,4.5,6.8125,49.125,0.25,0.0,0.0,57.9375,17.5625,3.125,0.0,2.25,1.0,0.375,0.0,0.1689400267416893,0.3860427645519566,0.0,0.0,0.0,0.0,0.0,11.31625,16
6,DK Metcalf,2021,2020,23,SEA,Russell Wilson,2020,32,Tyler Lockett,2020,28,DK Metcalf,14.370588235294118,DK Metcalf,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1875,8.0625,81.4375,0.625,0.0625,0.0625,110.5,22.6875,3.9375,0.0,3.125,1.6875,1.0625,0.3125,0.3797424844314732,0.6351219337836791,0.0,0.0,0.0,0.0,0.0,16.95625,16.0,Russell Wilson,2020,24.0,34.875,263.25,2.5,0.8125,2.9375,-18.8125,0.125,0.125,300.5625,114.1875,13.3125,0.0625,10.0625,5.125,2.8125,0.6875,4.898597015801772,7.234341967292955,22.48625,16,Tyler Lockett,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,8.25,65.875,0.625,0.0625,0.0,80.3125,20.4375,3.5625,0.0,2.625,1.25,0.625,0.125,0.2615194046590128,0.5475473941765614,0.0,0.0,0.0,0.0625,0.5625,16.5875,16
7,Justin Jefferson,2021,2020,22,MIN,Kirk Cousins,2020,33,Adam Thielen,2020,31,Justin Jefferson,19.435294117647057,Justin Jefferson,2020.0,0.0625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5604234142228961,5.5,7.8125,87.5,0.4375,0.0625,0.0,89.375,28.3125,3.625,0.125,3.5,2.0,1.4375,0.25,0.3698667776055959,0.6383778169831309,0.0,0.0,0.0,0.0,0.0,17.1375,16.0,Kirk Cousins,2020,21.8125,32.25,266.5625,2.1875,0.8125,2.4375,-16.0,0.5,0.25,256.4375,121.0,13.25,0.3125,10.875,5.375,3.625,0.4375,5.875463930783387,4.26865398236962,19.1375,16,Adam Thielen,2020,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0137894226160521,4.933333333333334,7.2,61.66666666666666,0.9333333333333332,0.0,0.0,82.6,16.2,3.466666666666667,0.0666666666666666,2.466666666666667,1.2,0.7333333333333333,0.0666666666666666,0.3272263181863158,0.6124591391954968,0.0,0.0,0.0,0.0,0.0,16.933333333333334,15
8,A.J. Brown,2021,2020,24,TEN,Ryan Tannehill,2020,33,Julio Jones,2020,32,A.J. Brown,13.915384615384616,A.J. Brown,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.571428571428571,76.78571428571429,0.7857142857142857,0.1428571428571428,0.0714285714285714,82.14285714285714,30.857142857142858,3.928571428571429,0.0,3.2857142857142856,1.5714285714285714,0.9285714285714286,0.3571428571428571,0.3388490013319751,0.6456039600551798,0.0714285714285714,0.0,0.0,0.0714285714285714,3.0,17.678571428571427,14.0,Ryan Tannehill,2020,19.6875,30.0625,238.6875,2.0625,0.4375,1.5,-10.8125,0.3125,0.0625,251.5,95.5625,12.625,0.0625,9.5625,4.6875,2.75,0.8125,7.8897766095924,1.977874450635738,21.5225,16,Julio Jones,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,7.555555555555555,85.66666666666667,0.3333333333333333,0.0,0.0,84.88888888888889,25.666666666666668,4.0,0.0,3.555555555555556,2.555555555555556,1.7777777777777777,0.2222222222222222,0.2422666172649132,0.4699436067071197,0.0,0.0,0.0,0.0,0.0,16.233333333333334,9
9,Keenan Allen,2021,2020,29,LAC,Justin Herbert,2020,23,Mike Williams,2020,26,Keenan Allen,16.1125,Keenan Allen,2020.0,0.0714285714285714,-0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.052164508961141,7.142857142857143,10.5,70.85714285714286,0.5714285714285714,0.2142857142857142,0.1428571428571428,75.14285714285714,31.214285714285715,4.357142857142857,0.0714285714285714,3.071428571428572,1.2857142857142858,0.7142857142857143,0.0,0.2561277786873582,0.5796833457998778,0.0,0.0,0.0,0.0,0.0,17.507142857142856,14.0,Justin Herbert,2020,26.4,39.66666666666666,289.06666666666666,2.066666666666667,0.6666666666666666,2.1333333333333333,-14.533333333333331,0.2,0.0666666666666666,291.2,148.0,14.4,0.1333333333333333,11.4,5.333333333333333,3.4,0.6666666666666666,6.0449491253441066,1.02852682648861,22.18933333333333,15,Mike Williams,2020,0.0714285714285714,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7491924888454378,3.4285714285714284,6.071428571428571,54.0,0.3571428571428571,0.0,0.0,88.28571428571429,11.571428571428571,2.5,0.0,2.142857142857143,1.2857142857142858,0.9285714285714286,0.1428571428571428,0.2970863276936525,0.4564473299500077,0.0,0.0,0.0,0.0,0.0,10.978571428571428,14
10,CeeDee Lamb,2021,2020,22,DAL,Dak Prescott,2020,28,Amari Cooper,2020,27,CeeDee Lamb,14.55,CeeDee Lamb,2020.0,0.625,5.125,0.0625,0.0,0.0,0.25,0.0625,0.1875,0.1875,0.0,0.0,0.9504614846754342,4.625,6.9375,58.4375,0.3125,0.0625,0.0625,64.4375,19.4375,2.875,0.0,2.1875,1.25,1.125,0.1875,0.2225409916123027,0.431209046184796,0.0625,1.5,10.75,0.0625,2.9375,13.60625,16.0,Dak Prescott,2020,30.2,44.4,371.2,1.8,0.8,2.0,-13.2,0.6,0.6,352.4,162.0,18.6,0.2,16.6,7.4,5.0,1.2,6.424759121922004,-0.4765958507606967,27.128000000000004,5,Amari Cooper,2020,0.375,0.875,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0,0.0,0.0,-0.0283911698424878,5.75,8.125,69.625,0.3125,0.0,0.0,71.5625,25.8125,3.375,0.0,2.8125,0.9375,0.8125,0.1875,0.249047299682021,0.4918904720393158,0.0,0.0,0.0,0.0,0.0,14.8,16
11,Terry McLaurin,2021,2020,24,WAS,Taylor Heinicke,2020,28,Curtis Samuel,2020,25,Terry McLaurin,12.558823529411764,Terry McLaurin,2020.0,0.1333333333333333,2.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0,1.2894826083793305,5.8,8.933333333333334,74.53333333333333,0.2666666666666666,0.0666666666666666,0.0666666666666666,86.66666666666667,31.866666666666667,3.4,0.0,3.1333333333333333,1.6666666666666667,1.1333333333333333,0.2,0.445534146058512,0.7159725369251493,0.0,0.0,0.0,0.0,0.0,14.92,15.0,Taylor Heinicke,2020,12.0,19.0,137.0,1.0,0.0,1.0,-7.0,0.0,0.0,255.0,49.0,6.0,0.0,4.0,3.0,2.0,0.0,2.3747805972525384,1.5776561279045909,11.68,1,Curtis Samuel,2020,2.7333333333333334,13.333333333333334,0.1333333333333333,0.0,0.0,0.6666666666666666,0.0,0.4,0.3333333333333333,0.0666666666666666,0.0666666666666666,-0.237361109390622,5.133333333333334,6.466666666666667,56.73333333333333,0.2,0.0666666666666666,0.0,47.4,21.33333333333333,2.6,0.0,2.533333333333333,1.5333333333333334,0.8,0.0666666666666666,0.1798234366029319,0.4169589437266492,0.0,0.0,0.0,0.0,0.0,14.14,15
12,Allen Robinson,2021,2020,27,CHI,Andy Dalton,2020,32,Darnell Mooney,2020,22,Allen Robinson,7.25,Allen Robinson,2020.0,0.0625,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9035451177041978,6.375,9.4375,78.125,0.375,0.0,0.0,90.625,19.9375,4.25,0.0,3.0625,2.0625,1.375,0.0625,0.3272202219335242,0.6140182885714992,0.0,0.0,0.0,0.0,0.0,16.431250000000002,16.0,Andy Dalton,2020,19.63636363636364,30.272727272727277,197.27272727272728,1.2727272727272727,0.7272727272727273,2.1818181818181817,-16.727272727272727,0.0909090909090909,0.0,208.0909090909091,94.8181818181818,10.545454545454543,0.0,7.818181818181818,2.8181818181818183,1.818181818181818,0.4545454545454545,-1.0182608966217348,0.0322649647377561,12.445454545454544,11,Darnell Mooney,2020,0.25,1.25,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.0374938321619993,3.8125,6.125,39.4375,0.25,0.0625,0.0,70.5,15.875,2.0625,0.0625,1.5,0.75,0.375,0.125,0.2170344516190527,0.3951942885798359,0.0,0.0,0.0,0.0625,0.3125,9.50625,16
